Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
PLA2G10,-1.39034166,2.173789531,-7.446341663,4.20E-13,1.56E-10,18.68298668
ATOH8,-1.112221637,1.771693429,-7.351170548,8.02E-13,2.79E-10,18.04847236
AKR7A3,-1.53099052,1.939587017,-7.349750829,8.10E-13,2.80E-10,18.03905666
ANXA1,1.271509432,6.004879737,7.33332469,9.05E-13,3.09E-10,17.93022353
MAOA,-1.175216614,4.299264569,-7.301684659,1.12E-12,3.70E-10,17.72114274
ALDH3B1,-1.054571571,3.9872212,-7.287306663,1.23E-12,3.98E-10,17.62637264
AMIGO2,1.095377979,3.941988911,7.277053179,1.32E-12,4.24E-10,17.55888081
CST6,1.606574472,3.619787477,7.238644944,1.71E-12,5.26E-10,17.3067489
NNMT,-1.121319225,5.703543937,-7.190050323,2.36E-12,6.98E-10,16.9892994
DACT2,-1.072274449,1.146098128,-7.17180305,2.66E-12,7.72E-10,16.87054598
FGG,-2.658910184,4.05310317,-7.156998321,2.94E-12,8.44E-10,16.77437715
CX3CL1,1.241606661,3.610441389,7.13160356,3.48E-12,9.83E-10,16.60979453
ITGA2,1.190810236,3.575597182,7.130903548,3.49E-12,9.83E-10,16.60526454
LINC02489,-1.090768381,1.466728089,-7.068708417,5.26E-12,1.42E-09,16.20423053
MSLN,-2.575632871,5.324397507,-7.018986951,7.27E-12,1.90E-09,15.88569627
PLAU,1.314069904,5.008247159,6.978272633,9.48E-12,2.39E-09,15.62624033
CPE,-1.296153285,4.94619019,-6.962036717,1.05E-11,2.62E-09,15.52312172
PLA2G4A,-1.345390976,3.673744217,-6.919583837,1.39E-11,3.36E-09,15.25442799
CDH3,1.308581937,3.856959829,6.904637601,1.53E-11,3.64E-09,15.1601528
ANKRD22,1.004619968,2.644978965,6.901656379,1.55E-11,3.68E-09,15.14136853
SERPINF2,-1.039037731,2.827843814,-6.884508533,1.74E-11,4.03E-09,15.03345253
LINC02866,-1.215682706,0.883159097,-6.872953396,1.87E-11,4.27E-09,14.96085819
IFI44,1.007345888,4.076120689,6.851226506,2.15E-11,4.83E-09,14.82463396
MUC4,-1.256620867,2.29887493,-6.850933424,2.15E-11,4.83E-09,14.82279883
CIT,-1.001598768,2.076627265,-6.838877102,2.32E-11,5.17E-09,14.74736445
TFF1,-2.262576738,2.171373872,-6.775642693,3.48E-11,7.51E-09,14.35352455
MISP,-1.039080078,4.336605061,-6.748020657,4.14E-11,8.85E-09,14.18244275
ZNF486,1.096551417,2.188574468,6.7402344,4.35E-11,9.23E-09,14.13432245
BPIFB2,-1.552091381,1.278152688,-6.638256643,8.24E-11,1.63E-08,13.50837088
PPP1R14C,1.089793872,2.833922636,6.61747962,9.38E-11,1.83E-08,13.38181921
ASCL1,-1.668167303,0.95733094,-6.605758514,1.01E-10,1.95E-08,13.31057352
