Mixture,Type,Activated dendritic cell,CD56bright natural killer cell,CD56dim natural killer cell,Central memory CD4 T cell,Central memory CD8 T cell,Effector memeory CD8 T cell,Gamma delta T cell,Immature  B cell,Immature dendritic cell,Macrophage,Mast cell,MDSC,Monocyte,Natural killer cell,Plasmacytoid dendritic cell,Regulatory T cell,T follicular helper cell,Type 1 T helper cell,Type 2 T helper cell
TCGA.55.8097.01A.11R.2241.07,Wild,0.759734816,0.91036914,0.979106906,1.135811984,0.919414259,0.885212613,0.893652923,0.778210086,0.970613347,0.773417546,0.876847745,1.046269412,0.954362261,0.937010825,0.923189277,0.902875019,0.845772327,0.807010847,0.791019223
TCGA.55.8208.01A.11R.2241.07,Wild,0.882212337,0.98224595,1.015412627,1.159742955,1.026971665,0.996865172,0.966688003,0.983617096,1.017359293,0.91641335,0.842007734,1.169969073,1.027733223,0.993446502,0.99505624,1.086732924,0.900965511,0.912263178,0.890889351
TCGA.69.7974.01A.11R.2187.07,Wild,0.877719928,0.933022301,1.048432652,1.126483372,1.011675042,0.987377346,0.969315206,0.859667919,1.040874513,0.886758546,0.902851402,1.132783955,1.003147187,0.983715368,0.968426584,1.070064018,0.878276014,0.876112667,0.909084648
TCGA.55.6968.01A.11R.1949.07,Wild,0.822912267,0.933518418,1.014328877,1.111236687,0.959134439,0.889083023,0.953261091,0.872964367,1.011474606,0.768810814,0.683400857,1.092418431,0.983346309,0.998463162,0.983348612,1.038994915,0.85971947,0.850539313,0.887901968
TCGA.44.3917.01B.02R.A277.07,Wild,0.624778565,0.724452617,0.813495608,0.947000192,0.78756483,0.780728892,0.734755807,0.660707669,0.816868543,0.475592138,0.519710133,0.836639373,0.784738706,0.805708664,0.743116806,0.83653569,0.630929281,0.647290172,0.798478538
TCGA.44.6145.01A.11R.1755.07,Wild,0.884139267,0.969162305,0.998573665,1.139860512,1.022200327,0.96064975,0.967493984,0.937055796,1.006546919,0.863198994,0.825791744,1.124342704,1.000447689,0.999903337,0.966058802,1.027475452,0.873328015,0.904891593,0.937887312
TCGA.75.7030.01A.11R.1949.07,Wild,0.835608746,0.954700672,1.03725665,1.145798048,1.020090408,0.937001,0.923681999,0.859532557,1.011146136,0.829013755,0.827770517,1.044261148,0.981862951,0.99293388,0.981989687,0.999315286,0.857026567,0.898263821,0.879955316
TCGA.44.7667.01A.31R.2066.07,Wild,0.774158372,0.903530973,1.010398205,1.071996554,0.9538021,0.827894091,0.937278052,0.650654774,0.961873264,0.720471914,0.706861771,1.015526928,0.945383334,0.915250073,0.984827226,0.906035467,0.749857583,0.800767781,0.851071792
TCGA.97.7553.01A.21R.2039.07,Wild,0.906442014,0.97120474,0.98056418,1.142601817,1.07294318,0.970599465,0.993453843,0.930888328,1.060790047,0.896322642,0.933409427,1.157121436,1.033933848,1.011343292,1.020808694,1.073416223,0.900593627,0.90162327,0.915839521
TCGA.78.7150.01A.21R.2039.07,Wild,0.772509714,0.929648233,1.034076898,1.108652634,0.986704582,0.82532881,0.919404159,0.621047713,0.935254571,0.691646225,0.682930812,0.962647273,0.956705698,0.911032386,0.92967734,0.892672808,0.802272863,0.822619651,0.911450119
TCGA.95.7947.01A.11R.2187.07,Wild,0.783233951,0.970076376,0.975090415,1.085973421,0.971386425,0.906239014,0.939429372,0.842310474,1.005621592,0.758366523,0.772945301,1.040252502,0.993122382,0.948598629,0.954632513,0.938147041,0.81216576,0.827009093,0.8794373
TCGA.55.8089.01A.11R.2241.07,Wild,0.816314459,0.970792107,0.996531703,1.168081919,1.003758976,1.029838373,0.968463719,0.931145497,0.981153486,0.871619912,0.800371771,1.152373319,1.009606091,0.97650961,0.950458357,1.078497638,0.886355975,0.902394289,0.904736575
TCGA.86.7711.01A.11R.2066.07,Wild,0.893012883,0.951620636,0.972337571,1.1085265,1.060955098,0.918666138,0.97609744,0.827057586,1.032744698,0.842292219,0.84558874,1.079928165,0.990751545,0.966433588,1.001514987,1.020898492,0.84311778,0.873084324,0.885313572
TCGA.55.8621.01A.11R.2403.07,Wild,0.861026846,0.975198542,1.014254616,1.138913854,1.043283219,1.00056035,0.990096146,0.897202901,1.065370851,0.875467343,0.907971812,1.153769725,0.994616287,0.995002123,0.999820963,1.068982712,0.890693249,0.890986011,0.881488337
TCGA.49.4501.01A.01R.1206.07,Wild,0.845668258,0.968882693,1.031261281,1.136180485,1.030703654,0.911132863,0.96175342,0.878017602,0.992877785,0.85020099,0.896859841,1.076282768,1.016385979,0.958060811,0.995975412,0.99321605,0.899285338,0.898627584,0.87337431
TCGA.86.7953.01A.11R.2187.07,Wild,0.899065143,0.974291301,1.028220763,1.105181172,1.02183989,0.976077799,0.939305496,0.838416079,1.043854329,0.828250433,0.803608503,1.121646758,0.995985578,0.979224892,0.978909702,1.010950622,0.847117566,0.869719834,0.910446345
TCGA.38.4628.01A.01R.1206.07,Wild,0.846275421,0.971422427,1.038640748,1.116852505,1.046438075,0.838397548,0.996027331,0.734536999,1.048093319,0.814338165,0.83165025,1.053126697,1.023874369,0.937729089,0.9631091,0.973050865,0.849624223,0.861412115,0.854252902
TCGA.55.A48Y.01A.11R.A24H.07,Wild,0.801608817,0.930055214,1.041536313,1.117776451,0.990663464,0.888867848,0.945952419,0.820480185,0.953119793,0.779932901,0.78997055,1.04374195,0.960591538,0.949813035,0.969318519,0.94766259,0.824706056,0.866797674,0.890795921
TCGA.MP.A4T9.01A.11R.A24X.07,Wild,0.820381575,0.964951073,1.017798178,1.126459227,1.024604058,0.955277924,0.974601395,0.791904051,1.022591937,0.841848112,0.873176655,1.07902249,1.012481365,0.963881283,0.998926075,1.016684994,0.883543648,0.869013161,0.854265041
TCGA.91.6835.01A.11R.1858.07,Wild,0.855568227,0.967547935,0.990678001,1.145943852,1.046794057,1.007896305,0.960604552,1.011261561,1.050390214,0.876113022,0.933139535,1.144762546,1.022578918,1.014413939,0.984953143,1.081979462,0.906864349,0.922899338,0.909904345
TCGA.50.6590.01A.12R.1858.07,Wild,0.836242337,0.96772147,1.024320873,1.143266777,1.002458763,0.954693056,0.970528473,0.929108727,0.952595801,0.8414668,0.728207919,1.146635581,0.970928173,0.977128924,0.939950417,1.090064904,0.86130494,0.886286495,0.847706081
TCGA.95.7039.01A.11R.1949.07,Wild,0.780611945,0.948954881,1.077382254,1.141712639,0.972782924,0.899853727,0.933990264,0.748730248,0.962728439,0.739375951,0.803111749,0.998386004,0.970240518,0.974355667,0.917669832,0.918928181,0.859847488,0.845596555,0.881425512
TCGA.55.8206.01A.11R.2241.07,Wild,0.884995231,0.937343199,0.985721565,1.131416593,0.982590184,0.933487713,0.950325433,0.864011529,1.031686163,0.897499048,0.966066669,1.123047237,1.031434509,0.985797913,0.995572302,1.000439676,0.904283271,0.873860624,0.817065091
TCGA.44.7661.01A.11R.2066.07,Wild,0.890367986,0.959460691,0.993416151,1.144469499,1.056013474,0.954616077,0.997777543,0.832223875,1.006560257,0.888994516,0.897134076,1.14448987,0.995900646,1.008477059,0.967103404,1.096731694,0.894458167,0.910690779,0.934347114
TCGA.J2.A4AD.01A.11R.A24H.07,Wild,0.754682446,0.932886399,0.994141207,1.093512054,0.951822656,0.827775025,0.890266647,0.578703448,0.976124549,0.66344486,0.69175033,0.934542743,0.906177734,0.898926249,0.938133048,0.834882945,0.700900379,0.762695778,0.802873009
TCGA.75.6206.01A.11R.1755.07,Wild,0.846224702,0.944795243,0.998840598,1.11642725,0.982479624,0.909667438,0.953413733,0.775205268,0.987773951,0.82283338,0.851541973,1.061117368,0.965223575,0.945979566,0.962299123,0.9676426,0.872874388,0.859046418,0.855263328
TCGA.55.8616.01A.11R.2403.07,Wild,0.784112486,0.942889289,1.0343401,1.119314334,0.98693117,0.868110861,0.894956243,0.835442833,1.003421205,0.748431292,0.793501484,1.005981974,0.976644227,0.945419151,0.951268774,0.891117726,0.831610042,0.826309123,0.836331719
TCGA.50.5051.01A.21R.1858.07,Wild,0.801826658,0.935493327,1.074415545,1.075728728,0.919022266,0.816286758,0.853049633,0.742282498,0.984324933,0.701819496,0.747940583,0.966542064,0.976155642,0.918152856,0.913709108,0.86275895,0.737852618,0.787226822,0.868425925
TCGA.97.7552.01A.11R.2039.07,Wild,0.845029263,0.970213894,1.014368731,1.153517241,1.033196544,1.005086383,0.92800136,1.006479026,1.017299283,0.848053269,0.851019373,1.112506243,0.997014288,1.006073999,0.97603334,1.036293371,0.889462243,0.908322269,0.921739714
TCGA.44.2657.01A.01R.1107.07,Wild,0.842632427,0.994549114,1.009308974,1.14658383,1.006342376,0.974370602,0.963568541,1.037878136,1.008008485,0.870565684,0.910895778,1.146212088,1.015414504,0.976159909,0.985468169,1.034772752,0.924227697,0.905362786,0.873649841
TCGA.44.2662.01A.01R.A278.07,Wild,0.808808806,0.86166325,0.974866741,1.100252402,1.023394237,0.933238232,0.950357331,0.757922538,1.019665285,0.809609897,0.721274938,1.122125637,0.965362246,0.921452735,0.937624719,1.05587826,0.837153827,0.811879264,0.842586929
TCGA.91.6840.01A.11R.1949.07,Wild,0.766458102,0.945238002,1.005245602,1.093394165,0.933653806,0.921557982,0.900490021,0.819413947,0.971246101,0.751026918,0.790572092,1.035193006,0.952796935,0.928185925,0.906201979,0.95998687,0.82585734,0.842408393,0.852620014
TCGA.55.7907.01A.11R.2170.07,Wild,0.815201583,0.944408339,1.064544248,1.139799118,0.973735596,0.94340142,0.934989931,0.792091899,0.993065184,0.805638651,0.805702482,1.069219476,0.980236036,0.968848827,0.940439965,0.969658259,0.838000223,0.879681653,0.882299587
TCGA.49.4510.01A.01R.1206.07,Wild,0.816461153,0.924157383,1.057572362,1.088609897,0.910756913,0.907707456,0.91448083,0.69742552,0.94712888,0.739993447,0.798188774,1.014869831,0.979368729,0.912417256,0.933475629,0.889632057,0.80048882,0.795501856,0.81251342
TCGA.MP.A4SV.01A.11R.A24X.07,Wild,0.809708132,0.938740649,1.068746411,1.127547788,0.966227916,0.956498924,0.901885029,0.86624676,0.982758921,0.780449678,0.787009029,1.09414748,0.975539919,0.948585959,0.937319902,0.998072643,0.826336335,0.849317186,0.867273907
TCGA.55.7726.01A.11R.2170.07,Wild,0.855699801,0.960946559,1.010445023,1.131587523,1.021706249,0.867985061,0.947507955,0.787582687,0.981332148,0.823316506,0.795535989,1.051277181,0.93365939,0.966773317,0.98515276,1.026034241,0.847981709,0.861841182,0.89393324
TCGA.97.A4M6.01A.11R.A24X.07,Wild,0.887488228,0.99171189,1.047244421,1.137924181,1.004010214,0.997607265,0.939054603,0.897782878,0.998876045,0.857277684,0.841146242,1.117923384,1.01941986,0.989698388,0.997932821,1.01437138,0.860149371,0.880019912,0.869531167
TCGA.86.7955.01A.11R.2187.07,Wild,0.681209434,0.891947104,0.989336964,1.053245223,0.876577898,0.772798575,0.881307157,0.649624659,0.915416317,0.577980472,0.639700753,0.878439561,0.900487288,0.827381642,0.897574015,0.760045231,0.63977127,0.710630275,0.821015125
TCGA.44.4112.01B.06R.A277.07,Wild,0.675510713,0.721562906,0.797060546,1.010802565,0.894708999,0.799687985,0.740447175,0.678388674,0.846298763,0.563588287,0.672930498,0.847639065,0.758388706,0.853697235,0.822788458,0.820607119,0.665742921,0.654954827,0.786162351
TCGA.L9.A443.01A.12R.A24H.07,Wild,0.78202188,0.924823027,1.041759715,1.111439616,0.957200639,0.935459048,0.869188343,0.689755542,0.979426048,0.765084085,0.783114537,1.041826022,0.955954886,0.955029652,0.94403362,0.863597938,0.806702588,0.841920074,0.817184552
TCGA.55.A491.01A.11R.A24H.07,Wild,0.814679176,0.966160169,1.02123188,1.119344495,0.984941328,0.921956005,0.920723379,0.867044674,1.034387106,0.81432882,0.798293703,1.085163918,0.994215493,0.94443503,0.97271634,0.99961387,0.858985161,0.868204308,0.848136216
TCGA.86.8056.01A.11R.2241.07,Wild,0.823783601,0.927345907,0.963486652,1.130013748,1.014410562,0.920095841,0.930877526,0.81599382,1.032324937,0.784515597,0.838076784,1.063991638,0.973857298,0.951156913,0.966934777,0.992491491,0.826677534,0.839565887,0.852648925
TCGA.78.8655.01A.11R.2403.07,Wild,0.874331032,0.955432549,1.021344517,1.127261306,1.009554242,0.970776044,0.951521983,0.8157592,0.990817181,0.847562766,0.909973113,1.103663353,0.994929189,0.976771542,0.956037176,0.998631144,0.858289878,0.864192759,0.873267376
TCGA.44.6147.01A.11R.1755.07,Wild,0.764745489,0.971634452,0.994619396,1.133354035,0.985715442,0.912447537,0.908765959,0.90054999,0.990226225,0.810927402,0.86311099,1.067104753,0.994991563,0.952888748,0.973075217,0.960104347,0.860481179,0.869646454,0.842787827
TCGA.44.6147.01B.06R.A277.07,Wild,0.604982569,0.761959811,0.71228786,1.016577781,0.817603523,0.788026168,0.682858568,0.855797445,0.839269597,0.569539733,0.681479658,0.847331593,0.770238296,0.845713926,0.822737788,0.788528065,0.65444174,0.676676,0.77122177
