Mixture,Type,Activated B cell,Activated CD4 T cell,Activated CD8 T cell,Activated dendritic cell,CD56bright natural killer cell,CD56dim natural killer cell,Central memory CD4 T cell,Central memory CD8 T cell,Effector memeory CD4 T cell,Effector memeory CD8 T cell,Eosinophil,Gamma delta T cell,Immature  B cell,Immature dendritic cell,Macrophage,Mast cell,MDSC,Memory B cell,Monocyte,Natural killer cell,Natural killer T cell,Neutrophil,Plasmacytoid dendritic cell,Regulatory T cell,T follicular helper cell,Type 1 T helper cell,Type 17 T helper cell,Type 2 T helper cell
TCGA.97.A4M6.01A.11R.A24X.07,Wild,0.894941562,0.886134561,1.061952768,0.887488228,0.99171189,1.047244421,1.137924181,1.004010214,0.83407115,0.997607265,0.651248898,0.939054603,0.897782878,0.998876045,0.857277684,0.841146242,1.117923384,0.723865293,1.01941986,0.989698388,0.774827392,0.705693198,0.997932821,1.01437138,0.860149371,0.880019912,0.743609997,0.869531167
TCGA.86.7955.01A.11R.2187.07,Wild,0.614458817,0.809750905,0.925595576,0.681209434,0.891947104,0.989336964,1.053245223,0.876577898,0.736743272,0.772798575,0.509561186,0.881307157,0.649624659,0.915416317,0.577980472,0.639700753,0.878439561,0.732827465,0.900487288,0.827381642,0.670528399,0.457885767,0.897574015,0.760045231,0.63977127,0.710630275,0.692259268,0.821015125
TCGA.44.4112.01B.06R.A277.07,Wild,0.478177787,0.823792472,0.738309243,0.675510713,0.721562906,0.797060546,1.010802565,0.894708999,0.663444262,0.799687985,0.592786076,0.740447175,0.678388674,0.846298763,0.563588287,0.672930498,0.847639065,0.57062768,0.758388706,0.853697235,0.539052114,0.33512987,0.822788458,0.820607119,0.665742921,0.654954827,0.479298555,0.786162351
TCGA.L9.A443.01A.12R.A24H.07,Wild,0.672779056,0.871394787,1.003959682,0.78202188,0.924823027,1.041759715,1.111439616,0.957200639,0.801482448,0.935459048,0.613229703,0.869188343,0.689755542,0.979426048,0.765084085,0.783114537,1.041826022,0.688810422,0.955954886,0.955029652,0.739321644,0.586509583,0.94403362,0.863597938,0.806702588,0.841920074,0.727332775,0.817184552
TCGA.55.A491.01A.11R.A24H.07,Wild,0.845731194,0.868518325,1.008778686,0.814679176,0.966160169,1.02123188,1.119344495,0.984941328,0.805024959,0.921956005,0.612474392,0.920723379,0.867044674,1.034387106,0.81432882,0.798293703,1.085163918,0.709663597,0.994215493,0.94443503,0.772672217,0.607637833,0.97271634,0.99961387,0.858985161,0.868204308,0.758305402,0.848136216
TCGA.86.8056.01A.11R.2241.07,Wild,0.775137959,0.825581435,0.95032329,0.823783601,0.927345907,0.963486652,1.130013748,1.014410562,0.804573901,0.920095841,0.71133933,0.930877526,0.81599382,1.032324937,0.784515597,0.838076784,1.063991638,0.67023466,0.973857298,0.951156913,0.715824276,0.644688208,0.966934777,0.992491491,0.826677534,0.839565887,0.731317508,0.852648925
TCGA.78.8655.01A.11R.2403.07,Wild,0.781547397,0.870234824,1.034689328,0.874331032,0.955432549,1.021344517,1.127261306,1.009554242,0.800985107,0.970776044,0.636477747,0.951521983,0.8157592,0.990817181,0.847562766,0.909973113,1.103663353,0.696903533,0.994929189,0.976771542,0.770623347,0.65146181,0.956037176,0.998631144,0.858289878,0.864192759,0.740077446,0.873267376
TCGA.44.6147.01A.11R.1755.07,Wild,0.901263056,0.862085847,1.002655436,0.764745489,0.971634452,0.994619396,1.133354035,0.985715442,0.801597992,0.912447537,0.692612574,0.908765959,0.90054999,0.990226225,0.810927402,0.86311099,1.067104753,0.725180556,0.994991563,0.952888748,0.736204427,0.675639806,0.973075217,0.960104347,0.860481179,0.869646454,0.691106484,0.842787827
TCGA.44.6147.01B.06R.A277.07,Wild,0.72310925,0.8349852,0.764761295,0.604982569,0.761959811,0.71228786,1.016577781,0.817603523,0.690162118,0.788026168,0.642173249,0.682858568,0.855797445,0.839269597,0.569539733,0.681479658,0.847331593,0.610751089,0.770238296,0.845713926,0.524740645,0.377288932,0.822737788,0.788528065,0.65444174,0.676676,0.497726585,0.77122177
TCGA.44.4112.01A.01R.A278.07,Wild,0.548738608,0.883269256,0.880596068,0.777298618,0.849491606,0.976856107,1.077620865,0.964994773,0.71268626,0.860248621,0.538997421,0.882618615,0.695129006,0.941323808,0.709525458,0.766595612,0.97818838,0.685652187,0.885825361,0.92767579,0.645477479,0.420123145,0.875439774,0.96284739,0.762534501,0.757982592,0.638556579,0.827020875
TCGA.L9.A444.01A.21R.A24H.07,Wild,0.885970422,0.910997969,1.130127128,0.816393786,0.948246556,1.035475092,1.155126837,1.00216556,0.793455441,0.992500985,0.609205817,0.935258164,0.920514383,0.949695599,0.815561076,0.756060416,1.149206562,0.685480137,0.975322859,0.961541221,0.811522103,0.506720399,0.940026059,0.998774124,0.876980605,0.881490317,0.722403653,0.865720621
TCGA.86.8055.01A.11R.2241.07,Wild,0.756267222,0.898305864,0.962278467,0.831178223,0.956326321,1.019586056,1.145159703,1.067703115,0.854176986,0.935032834,0.573500061,0.963172162,0.823263544,1.004698854,0.827227367,0.823641732,1.084594071,0.74004043,0.976122051,0.97609821,0.777015761,0.590318986,0.963479806,1.058213296,0.865787968,0.894768256,0.706791952,0.895009381
TCGA.49.6745.01A.11R.1858.07,Wild,0.771785285,0.961732241,1.050390627,0.865686157,0.968332938,1.028020988,1.144452333,1.057743686,0.889511676,0.946105838,0.673316877,0.978472299,0.818569586,1.032152653,0.859694074,0.905164262,1.118777432,0.781833897,1.00223948,0.996506241,0.859299311,0.685371922,0.962650526,1.071459966,0.867565549,0.913613292,0.744103356,0.925352765
TCGA.05.4405.01A.21R.1858.07,Wild,0.785065674,0.833644761,0.947466095,0.829166491,0.958286787,1.052091382,1.129925622,1.013692895,0.767590312,0.930167109,0.626461738,0.927779999,0.823725359,1.019496998,0.81296142,0.893601365,1.054678969,0.741083649,0.970128938,0.965883471,0.744286446,0.582792024,0.958548874,0.96532601,0.876599975,0.859143662,0.75295344,0.85267489
TCGA.MP.A4TH.01A.31R.A262.07,Wild,1.008247533,0.860586779,1.069222925,0.829509623,0.922392076,1.053602827,1.137692916,0.938264073,0.812036209,0.981683235,0.68337162,0.91085712,1.000683165,0.950234001,0.794410661,0.817156735,1.09527297,0.778970138,0.998304294,0.96618433,0.768545363,0.564130624,0.934063555,0.997957721,0.871344046,0.876015795,0.757732036,0.860087823
TCGA.99.7458.01A.11R.2039.07,Wild,0.806682031,0.928878294,1.070600971,0.855247678,0.966219406,1.027094739,1.137350388,1.032287494,0.84908605,0.969135913,0.680307885,0.939791562,0.865994843,1.019498362,0.831649586,0.894859992,1.115525315,0.737123647,0.997599714,0.996310882,0.787104263,0.618892743,0.949868392,1.041637548,0.892965751,0.894310473,0.744674865,0.895988746
TCGA.55.1594.01A.01R.0946.07,Wild,0.77047479,0.880626228,1.020649107,0.793232484,0.944421216,0.978800473,1.099118012,0.975245827,0.800085704,0.883131403,0.568260484,0.91771146,0.778201868,0.999998655,0.79293287,0.766577228,1.031681058,0.728771325,0.977783556,0.947450915,0.737500555,0.590854335,0.946349054,0.966333642,0.819399376,0.806972091,0.764933185,0.834125824
TCGA.86.6562.01A.11R.1755.07,Wild,0.735766931,0.89801088,0.949320134,0.802200947,0.944214474,1.005575175,1.130307662,1.050249098,0.853959527,0.908840458,0.694457346,0.97231712,0.791666455,0.987908958,0.837795723,0.940507389,1.043112255,0.755708701,0.984412383,0.964037418,0.78032911,0.700201934,0.969748513,0.99791659,0.819549247,0.867547383,0.742769499,0.907444317
TCGA.95.7944.01A.11R.2187.07,Wild,0.764639295,0.961521942,1.128308645,0.843931997,0.982761993,1.017995813,1.14644155,0.975269612,0.842352446,0.996480756,0.555065682,0.970919206,0.812265459,0.934388822,0.885972516,0.687829144,1.115241103,0.628261278,0.98707301,0.9787005,0.854464646,0.59652919,0.939204674,0.998024603,0.893891279,0.890825847,0.684328958,0.920410951
TCGA.05.4398.01A.01R.1206.07,Wild,0.808863522,0.95598389,1.016833806,0.875846984,0.954919352,1.028115153,1.12572012,1.013072527,0.801734246,0.943781641,0.606972162,0.953055564,0.853699918,0.987250274,0.846317678,0.795109992,1.137268234,0.727069439,1.01813303,0.951357894,0.808057298,0.665916553,0.960913354,1.064389031,0.875577483,0.891604467,0.718362444,0.829300355
TCGA.50.5933.01A.11R.1755.07,Wild,0.648523546,0.948204515,0.999860653,0.848950009,0.98870037,1.040710126,1.145529422,1.083647643,0.900935381,0.969657212,0.647081364,0.986080539,0.835579417,1.000766457,0.859718722,0.879322879,1.131047818,0.764105237,0.991633585,0.975091753,0.843283912,0.613440607,0.959908137,1.113040007,0.903567701,0.897910517,0.728637125,0.867687625
